#{"t_start": 1762623701.537952, "env_id": "LunarLander-v3"}
r,l,t
232.725026,712,100.788291
227.875603,382,101.041911
198.019777,315,101.246753
217.319388,348,101.553029
259.087454,358,101.901547
187.975597,386,102.158817
-7.314415,233,102.314976
213.538208,492,102.645467
210.226313,451,103.015796
-24.61124,203,103.254732
-55.457124,298,103.45695
256.588893,298,103.65722
259.036402,289,103.845889
224.074593,349,104.073244
219.383184,394,104.332672
-156.35071,634,104.880425
-49.612279,1000,105.53319
219.022257,540,105.947431
199.162201,453,106.361036
11.595447,270,106.536794
216.241069,524,106.890921
9.669559,354,107.123544
125.350513,835,107.803163
-76.039532,1000,108.470825
11.66063,1000,109.31084
116.918286,864,109.883941
1.570342,1000,110.695252
165.698504,666,111.143124
202.010106,658,111.56984
159.557138,531,111.997013
247.365244,413,112.375181
-56.052477,314,112.57956
254.62044,348,112.814024
-38.563778,222,112.959484
290.539502,258,113.130445
-16.860378,166,113.2395
-3.335512,236,113.416405
-62.138273,200,113.64711
264.03239,341,113.876894
256.371784,293,114.072647
278.00892,270,114.280103
-64.852328,330,114.505747
-25.745284,235,114.664051
-45.792593,283,114.930594
210.257648,506,115.379559
195.359143,395,115.64322
-39.807505,241,115.809588
1.850904,163,115.917872
-23.061894,188,116.043831
100.945832,1000,116.855179
-51.185542,236,117.014142
11.359067,219,117.162735
226.958787,265,117.339868
250.178139,252,117.508262
-21.648891,118,117.589256
15.894739,170,117.702655
247.504646,234,117.924106
-56.386627,117,118.100021
36.839611,155,118.20468
276.979946,245,118.375179
-35.394244,188,118.496138
-44.306773,142,118.59174
247.499104,234,118.751862
-1.938385,172,118.86589
2.829781,191,118.994832
-18.367217,149,119.093919
-34.484164,157,119.198107
259.888478,210,119.355971
-50.988369,200,119.595386
58.656382,201,119.732081
8.509177,178,119.854752
-93.872732,150,119.951357
52.510136,162,120.059484
-29.157993,98,120.125551
35.667787,162,120.23384
-82.834519,156,120.337944
-17.868558,186,120.470463
-22.779406,97,120.534913
-59.484413,156,120.638606
183.243687,306,120.907321
-48.620722,180,121.12285
-1.374974,156,121.230607
-0.667069,97,121.293914
-37.337369,200,121.427486
-57.51593,222,121.575626
-21.098462,150,121.676229
-34.761121,154,121.781412
261.22946,238,121.939827
228.532529,233,122.09014
-41.232695,169,122.1959
194.507542,306,122.551551
-24.564226,218,122.712692
224.52659,260,122.883797
-59.404151,211,123.027392
-21.205933,168,123.136098
261.273453,227,123.292968
249.489893,794,123.840414
255.022993,308,124.158083
253.492345,323,124.370069
-74.533814,443,124.658701
248.134025,445,124.954141
-99.373544,268,125.134301
115.767715,484,125.620723
-63.583899,265,125.794344
123.39026,510,126.136341
-104.983761,381,126.3844
-166.023231,642,126.89096
160.229068,598,127.407971
-93.760424,430,127.694175
-31.971773,1000,128.435768
-56.645786,222,128.674369
190.015742,605,129.08074
-55.271113,293,129.272093
-79.467017,431,129.555895
126.68979,699,130.138653
-117.437027,502,130.466653
-99.399677,413,130.746364
-13.120813,412,131.010093
195.490105,517,131.527372
-53.262288,269,131.709699
-146.07206,580,132.099538
-114.088098,549,132.467007
-96.569334,1000,133.251758
79.506492,915,133.866331
131.230418,839,134.590597
38.925649,899,135.194817
-106.12816,524,135.54383
49.373286,837,136.249315
-90.130647,1000,136.920254
-65.737813,1000,137.760061
-79.817918,361,137.999933
-100.844903,438,138.2926
-98.609614,321,138.523634
-91.14012,416,138.92939
-143.509388,552,139.302096
101.464187,853,139.862738
-87.427612,1000,140.685051
-57.317141,1000,141.343494
-53.183742,1000,142.158736
-166.70809,667,142.606363
-53.422588,1000,143.443456
69.529601,884,144.058277
-47.494467,1000,144.93876
-89.363329,1000,145.635555
-54.907921,167,145.751695
-83.697125,1000,146.549395
-38.621163,1000,147.244368
-137.695589,1000,148.079255
-228.612625,776,148.580643
-123.156342,243,148.740872
-18.813739,1000,149.508549
-21.824546,1000,150.151214
153.739468,580,150.519317
-47.477826,318,150.791218
175.57765,754,151.391811
-84.011334,379,151.645042
-109.252113,436,151.929681
143.958868,553,152.432009
-59.130657,288,152.617883
-87.594295,427,152.910426
184.489392,367,153.163046
127.236514,512,153.532324
-226.167094,906,154.266344
-130.159146,320,154.475773
-144.309389,236,154.632454
-140.794799,267,154.811723
-100.104564,461,155.138956
-65.22014,272,155.426969
-156.348001,569,155.814847
-72.595083,286,155.9997
167.932951,431,156.288823
191.268543,341,156.575996
237.750417,389,156.970649
172.160841,398,157.26011
-51.261767,317,157.485189
-129.171895,341,157.711687
-102.356831,285,157.902056
-55.864542,320,158.141965
-87.104234,204,158.451154
-106.248009,376,158.719655
-38.391396,270,158.924312
242.22796,354,159.180434
210.340798,302,159.416164
249.822271,339,159.75354
241.088914,413,160.139635
-1.043367,149,160.243401
-46.840318,199,160.370876
3.045938,169,160.47891
242.576902,311,160.687125
203.588315,497,161.016649
-114.836063,245,161.191542
-36.627342,249,161.393718
-68.744314,299,161.688631
-68.972889,287,161.884352
225.850523,350,162.125082
-144.154341,510,162.465344
-79.343052,378,162.780913
-113.893425,332,163.111074
-92.284222,402,163.381408
-74.966768,146,163.477416
191.394121,636,163.911591
185.009396,590,164.34053
-81.056303,314,164.653418
-76.776728,178,164.776793
180.931354,529,165.140806
225.959783,299,165.346242
-59.764883,202,165.480553
-27.934635,182,165.602298
-81.871218,239,165.832221
175.581181,441,166.231906
-127.114612,420,166.509568
-73.742365,203,166.641749
-75.362548,199,166.775157
-70.825535,206,166.912661
-82.176846,222,167.053514
-38.21835,179,167.175894
182.468349,383,167.551732
-97.51033,1000,168.215962
-119.383788,391,168.477988
-106.185446,260,168.6589
66.233443,1000,169.500754
-109.168948,184,169.618372
170.051266,597,170.013018
-88.379484,300,170.267653
179.45997,537,170.731851
-54.733388,1000,171.401729
-69.729809,334,171.629542
-111.932144,214,171.79832
146.087303,669,172.351968
-68.250741,207,172.488183
187.988665,362,172.725044
-67.005272,220,172.868938
11.449405,1000,173.704715
-127.082825,210,173.847408
-79.449602,262,174.017858
-93.961009,274,174.19836
-53.252258,229,174.351733
-134.742675,513,174.705709
-92.679133,173,174.922746
-60.922888,1000,175.572352
149.755867,457,175.872654
42.606988,865,176.599669
77.341481,932,177.200343
-73.642411,1000,177.986608
-108.858511,339,178.207465
142.35968,330,178.426489
-86.645786,339,178.646968
-63.227132,249,178.816523
185.470107,824,179.538655
-132.888742,1000,180.201055
-90.549355,293,180.397998
-113.229789,358,180.660091
-91.170213,192,180.87878
-146.608238,304,181.082031
-113.002685,273,181.265258
-82.425961,227,181.423642
-90.306545,265,181.602529
-201.794914,901,182.379103
-191.881295,817,182.926077
-164.252486,484,183.272585
-184.572193,773,183.922248
-53.747782,1000,184.581259
-54.048958,177,184.703984
-64.019339,1000,185.544288
-150.340799,207,185.687346
-70.283776,1000,186.362676
-176.200064,747,187.043745
-124.938422,1000,187.725964
-182.291041,305,187.933001
-105.948798,197,188.131251
-163.881495,176,188.354704
-110.442813,1000,189.019641
-69.44084,1000,189.859198
-161.63167,699,190.325596
-55.022421,1000,191.004836
-126.886693,367,191.371591
-102.250774,1000,192.056044
-94.816158,202,192.188628
-127.474831,174,192.306025
-109.222745,361,192.605859
-47.472615,1000,193.367158
-226.577908,933,193.984769
-132.929178,424,194.387012
-158.017558,583,194.766537
-89.080584,181,194.885351
-160.901738,614,195.289345
-168.98492,664,195.910077
-54.166842,1000,196.567908
-140.928024,502,196.907866
