#{"t_start": 1762458577.333108, "env_id": "LunarLander-v3"}
r,l,t
269.700751,220,342.002203
12.290054,207,342.107292
11.780579,166,342.192024
244.468631,234,342.313282
239.885032,362,343.399955
2.108607,171,343.489362
249.973899,221,343.611372
255.354263,212,343.737524
-8.305353,147,343.917744
-39.779153,158,344.680825
209.552198,440,344.912722
241.763923,241,345.047042
-19.492108,208,345.223805
249.658238,240,346.102564
17.453366,199,346.210802
121.901371,1000,347.477014
260.007521,278,347.620667
28.346975,207,347.73904
257.652138,226,347.874311
133.372136,1000,349.174024
276.505168,280,350.023939
-27.755988,169,350.110505
242.653175,262,350.239118
151.874734,1000,351.417164
16.143581,162,351.518643
145.679633,1000,353.07711
-5.728804,173,353.167563
1.510722,182,353.904802
226.366745,255,354.033524
273.355208,230,354.151908
265.543298,282,354.438077
145.49679,1000,355.768076
271.212803,250,356.629936
-137.620162,452,356.860125
288.95137,363,357.066627
-7.955186,187,357.867136
247.394228,233,357.98492
241.863589,331,358.155007
154.35183,1000,359.475988
281.801186,258,359.618318
272.733628,298,360.530836
254.454012,307,360.68545
-17.268067,320,360.907655
-2.370544,299,361.81009
289.579995,251,361.9373
255.882433,217,362.058722
234.062132,680,363.249499
286.480742,302,363.406316
5.782643,155,363.502255
274.858672,254,363.697735
262.175657,230,364.585754
221.727228,253,364.722255
261.626096,242,364.909741
223.343565,383,365.254218
230.220045,304,366.117664
206.119522,315,366.29898
247.528708,268,366.459757
282.593355,266,367.44307
260.704054,246,367.565707
249.474777,346,367.772847
273.215445,321,368.044771
266.895247,264,368.825026
262.043104,334,368.989847
272.448166,262,369.138787
3.411518,197,369.347016
273.070155,284,370.226654
260.107327,213,370.332342
273.500896,442,370.592058
262.860624,223,371.513493
-14.307943,204,371.611334
285.655816,265,371.749815
245.819626,237,371.915268
307.076442,307,372.877348
253.268206,213,372.981412
-6.264993,169,373.073207
269.310255,310,373.358957
260.325311,322,374.373474
246.852488,224,374.488667
255.351919,224,374.597647
255.520956,209,374.757688
